id;magnitude;type;title;date;url;detailUrl;felt;cdi;mmi;status;tsunami;sig;net;nst;dmin;rms;gap;magType;depth;latitude;longitude;place;distanceKM;location;continent;country;subnational;city;locality;timezone
us7000necw;4.8;earthquake;M 4.8 - 33 km WSW of Ackerly, Texas;2024-09-17T00:49:42;https://earthquake.usgs.gov/earthquakes/eventpage/us7000necw;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000necw.geojson;1893;6;5;reviewed;0;994;us;37;0.287;0.48;70;mww;4.044;32.3984;-102.044;33 km WSW of Ackerly, Texas;33;Ackerly, Texas;North America;United States of America (the);Texas;Tarzan-Lenorah;Tarzan-Lenorah;-300
tx2024shcj;5.1;earthquake;M 5.1 - 34 km WSW of Ackerly, Texas;2024-09-17T00:49:42;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024shcj;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024shcj&format=geojson;2042;6;5;reviewed;0;1040;tx;24;0;0.1;38;ml;6.1279;32.414;-102.057;34 km WSW of Ackerly, Texas;34;Ackerly, Texas;North America;United States of America (the);Texas;Tarzan-Lenorah;Tarzan-Lenorah;-300
ci40734823;3.7;earthquake;M 3.7 - 6 km N of Malibu, CA;2024-09-16T11:22:08;https://earthquake.usgs.gov/earthquakes/eventpage/ci40734823;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40734823&format=geojson;1580;4;4;reviewed;0;591;ci;135;0.03294;0.28;99;ml;10.9;34.0678;-118.807;6 km N of Malibu, CA;6;Malibu, CA;North America;United States of America (the);California;Los Angeles;Agoura Hills-Malibu;-420
tx2024scvz;3.9;earthquake;M 3.9 - 58 km S of Whites City, New Mexico;2024-09-14T17:01:06;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024scvz;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024scvz&format=geojson;5;3;4;reviewed;0;236;tx;38;0;0.1;65;ml;6.2024;31.647;-104.45;58 km S of Whites City, New Mexico;58;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
us7000ndte;4.1;earthquake;M 4.1 - 60 km S of Whites City, New Mexico;2024-09-14T17:01:06;https://earthquake.usgs.gov/earthquakes/eventpage/us7000ndte;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000ndte.geojson;4;3;4;reviewed;0;260;us;28;0.043;0.26;67;mb;8.814;31.6323;-104.473;60 km S of Whites City, New Mexico;60;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
ci40732519;3.23;earthquake;M 3.2 - 6 km N of Malibu, CA;2024-09-13T11:56:39;https://earthquake.usgs.gov/earthquakes/eventpage/ci40732519;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40732519&format=geojson;472;4;3;reviewed;0;340;ci;131;0.03137;0.26;88;ml;10.95;34.0637;-118.812;6 km N of Malibu, CA;6;Malibu, CA;North America;United States of America (the);California;Los Angeles;Agoura Hills-Malibu;-420
ci40731847;3.43;earthquake;M 3.4 - 5 km N of Malibu, CA;2024-09-12T16:37:32;https://earthquake.usgs.gov/earthquakes/eventpage/ci40731847;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40731847&format=geojson;234;4;3;reviewed;0;277;ci;111;0.02408;0.29;92;ml;11.02;34.0588;-118.799;5 km N of Malibu, CA;5;Malibu, CA;North America;United States of America (the);California;Los Angeles;Agoura Hills-Malibu;-420
ci40731759;3.44;earthquake;M 3.4 - 7 km N of Malibu, CA;2024-09-12T15:40:49;https://earthquake.usgs.gov/earthquakes/eventpage/ci40731759;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40731759&format=geojson;225;4;3;reviewed;0;272;ci;115;0.02561;0.31;84;ml;10.93;34.0682;-118.8;7 km N of Malibu, CA;7;Malibu, CA;North America;United States of America (the);California;Los Angeles;Agoura Hills-Malibu;-420
ci40731623;4.69;earthquake;M 4.7 - 6 km N of Malibu, CA;2024-09-12T14:28:21;https://earthquake.usgs.gov/earthquakes/eventpage/ci40731623;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40731623&format=geojson;18592;5;5;reviewed;1;818;ci;145;0.03238;0.29;101;mw;11.35;34.0703;-118.808;6 km N of Malibu, CA;6;Malibu, CA;North America;United States of America (the);California;Los Angeles;Agoura Hills-Malibu;-420
nn00884526;3.5;earthquake;M 3.5 - 7 km NW of Hiko, Nevada;2024-09-11T08:31:01;https://earthquake.usgs.gov/earthquakes/eventpage/nn00884526;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00884526&format=geojson;0;0;3;reviewed;0;188;nn;14;0.301;0.1665;147.85;ml;11.8;37.6127;-115.303;7 km NW of Hiko, Nevada;7;Hiko, Nevada;North America;United States of America (the);Nevada;Alamo;Alamo;-420
